Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='soteria', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=2, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 110 	 FL_loss 2.3011 	 FL_acc 71.2740 	 Test images 10000
Round 111 	 FL_loss 2.2975 	 FL_acc 71.4043 	 Test images 10000
Round 112 	 FL_loss 2.2949 	 FL_acc 71.3442 	 Test images 10000
Round 113 	 FL_loss 2.2998 	 FL_acc 71.3542 	 Test images 10000
Round 114 	 FL_loss 2.3014 	 FL_acc 71.4343 	 Test images 10000
Round 115 	 FL_loss 2.3015 	 FL_acc 71.3842 	 Test images 10000
Round 116 	 FL_loss 2.3018 	 FL_acc 71.4243 	 Test images 10000
Round 117 	 FL_loss 2.3012 	 FL_acc 71.4744 	 Test images 10000
Round 118 	 FL_loss 2.3000 	 FL_acc 71.4543 	 Test images 10000
Round 119 	 FL_loss 2.3016 	 FL_acc 71.5745 	 Test images 10000
Round 120 	 FL_loss 2.3014 	 FL_acc 71.5445 	 Test images 10000
Round 121 	 FL_loss 2.3022 	 FL_acc 71.5745 	 Test images 10000
Round 122 	 FL_loss 2.3035 	 FL_acc 71.6046 	 Test images 10000
Round 123 	 FL_loss 2.3049 	 FL_acc 71.5745 	 Test images 10000
Round 124 	 FL_loss 2.3040 	 FL_acc 71.6747 	 Test images 10000
Round 125 	 FL_loss 2.3003 	 FL_acc 71.7448 	 Test images 10000
Round 126 	 FL_loss 2.3018 	 FL_acc 71.6747 	 Test images 10000
Round 127 	 FL_loss 2.3022 	 FL_acc 71.7147 	 Test images 10000
Round 128 	 FL_loss 2.3022 	 FL_acc 71.7348 	 Test images 10000
Round 129 	 FL_loss 2.3023 	 FL_acc 71.8349 	 Test images 10000
Round 130 	 FL_loss 2.3035 	 FL_acc 71.7648 	 Test images 10000
Round 131 	 FL_loss 2.3024 	 FL_acc 71.8149 	 Test images 10000
Round 132 	 FL_loss 2.3032 	 FL_acc 71.7748 	 Test images 10000
Round 133 	 FL_loss 2.3043 	 FL_acc 71.8349 	 Test images 10000
Round 134 	 FL_loss 2.3062 	 FL_acc 71.8750 	 Test images 10000
Round 135 	 FL_loss 2.3054 	 FL_acc 71.9952 	 Test images 10000
Round 136 	 FL_loss 2.3057 	 FL_acc 71.9952 	 Test images 10000
Round 137 	 FL_loss 2.3053 	 FL_acc 72.0353 	 Test images 10000
Round 138 	 FL_loss 2.3071 	 FL_acc 71.9752 	 Test images 10000
Round 139 	 FL_loss 2.3069 	 FL_acc 72.0453 	 Test images 10000
Round 140 	 FL_loss 2.3058 	 FL_acc 72.0553 	 Test images 10000
Round 141 	 FL_loss 2.3074 	 FL_acc 72.0152 	 Test images 10000
Round 142 	 FL_loss 2.3066 	 FL_acc 72.0553 	 Test images 10000
Round 143 	 FL_loss 2.3062 	 FL_acc 72.0753 	 Test images 10000
Round 144 	 FL_loss 2.3081 	 FL_acc 72.0954 	 Test images 10000
Round 145 	 FL_loss 2.3086 	 FL_acc 72.1354 	 Test images 10000
Round 146 	 FL_loss 2.3070 	 FL_acc 72.1454 	 Test images 10000
Round 147 	 FL_loss 2.3065 	 FL_acc 72.0753 	 Test images 10000
Round 148 	 FL_loss 2.3072 	 FL_acc 72.1254 	 Test images 10000
Round 149 	 FL_loss 2.3059 	 FL_acc 72.1655 	 Test images 10000
Round 150 	 FL_loss 2.3053 	 FL_acc 72.1955 	 Test images 10000
Round 151 	 FL_loss 2.3085 	 FL_acc 72.1955 	 Test images 10000
Round 152 	 FL_loss 2.3075 	 FL_acc 72.1955 	 Test images 10000
Round 153 	 FL_loss 2.3080 	 FL_acc 72.2256 	 Test images 10000
Round 154 	 FL_loss 2.3091 	 FL_acc 72.2656 	 Test images 10000
Round 155 	 FL_loss 2.3106 	 FL_acc 72.2456 	 Test images 10000
Round 156 	 FL_loss 2.3099 	 FL_acc 72.2356 	 Test images 10000
Round 157 	 FL_loss 2.3087 	 FL_acc 72.2456 	 Test images 10000
Round 158 	 FL_loss 2.3092 	 FL_acc 72.2957 	 Test images 10000
Round 159 	 FL_loss 2.3091 	 FL_acc 72.2456 	 Test images 10000
Round 160 	 FL_loss 2.3093 	 FL_acc 72.2556 	 Test images 10000
Round 161 	 FL_loss 2.3096 	 FL_acc 72.2857 	 Test images 10000
Round 162 	 FL_loss 2.3085 	 FL_acc 72.3257 	 Test images 10000
Round 163 	 FL_loss 2.3104 	 FL_acc 72.2957 	 Test images 10000
Round 164 	 FL_loss 2.3104 	 FL_acc 72.3558 	 Test images 10000
Round 165 	 FL_loss 2.3118 	 FL_acc 72.3357 	 Test images 10000
Round 166 	 FL_loss 2.3132 	 FL_acc 72.3558 	 Test images 10000
Round 167 	 FL_loss 2.3125 	 FL_acc 72.3958 	 Test images 10000
Round 168 	 FL_loss 2.3113 	 FL_acc 72.4459 	 Test images 10000
Round 169 	 FL_loss 2.3100 	 FL_acc 72.4960 	 Test images 10000
Round 170 	 FL_loss 2.3114 	 FL_acc 72.4960 	 Test images 10000
Round 171 	 FL_loss 2.3112 	 FL_acc 72.5260 	 Test images 10000
Round 172 	 FL_loss 2.3126 	 FL_acc 72.4860 	 Test images 10000
Round 173 	 FL_loss 2.3136 	 FL_acc 72.4760 	 Test images 10000
Round 174 	 FL_loss 2.3133 	 FL_acc 72.4960 	 Test images 10000
Round 175 	 FL_loss 2.3138 	 FL_acc 72.5260 	 Test images 10000
Round 176 	 FL_loss 2.3147 	 FL_acc 72.6262 	 Test images 10000
Round 177 	 FL_loss 2.3145 	 FL_acc 72.6362 	 Test images 10000
Round 178 	 FL_loss 2.3138 	 FL_acc 72.6362 	 Test images 10000
Round 179 	 FL_loss 2.3134 	 FL_acc 72.6162 	 Test images 10000
Round 180 	 FL_loss 2.3137 	 FL_acc 72.6162 	 Test images 10000
Round 181 	 FL_loss 2.3147 	 FL_acc 72.6162 	 Test images 10000
Round 182 	 FL_loss 2.3135 	 FL_acc 72.6062 	 Test images 10000
Round 183 	 FL_loss 2.3144 	 FL_acc 72.6963 	 Test images 10000
Round 184 	 FL_loss 2.3152 	 FL_acc 72.6663 	 Test images 10000
Round 185 	 FL_loss 2.3160 	 FL_acc 72.6663 	 Test images 10000
Round 186 	 FL_loss 2.3165 	 FL_acc 72.6863 	 Test images 10000
Round 187 	 FL_loss 2.3167 	 FL_acc 72.6963 	 Test images 10000
Round 188 	 FL_loss 2.3154 	 FL_acc 72.6963 	 Test images 10000
Round 189 	 FL_loss 2.3146 	 FL_acc 72.7163 	 Test images 10000
Round 190 	 FL_loss 2.3141 	 FL_acc 72.7364 	 Test images 10000
Round 191 	 FL_loss 2.3148 	 FL_acc 72.7564 	 Test images 10000
Round 192 	 FL_loss 2.3142 	 FL_acc 72.8065 	 Test images 10000
Round 193 	 FL_loss 2.3159 	 FL_acc 72.7865 	 Test images 10000
Round 194 	 FL_loss 2.3166 	 FL_acc 72.7764 	 Test images 10000
Round 195 	 FL_loss 2.3174 	 FL_acc 72.8065 	 Test images 10000
Round 196 	 FL_loss 2.3175 	 FL_acc 72.8365 	 Test images 10000
Round 197 	 FL_loss 2.3167 	 FL_acc 72.8866 	 Test images 10000
Round 198 	 FL_loss 2.3175 	 FL_acc 72.8966 	 Test images 10000
Round 199 	 FL_loss 2.3191 	 FL_acc 72.8966 	 Test images 10000
Saving round 200 aggregated_parameters...
Round 200 	 FL_loss 2.3185 	 FL_acc 72.9067 	 Test images 10000
Best FL accuracy: 72.90665435791016 on round 200
Defense Method:  soteria
Finished computations with time: 19:48:11.533856

