Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device 10 	 Train loss 0.1468 	 LR 0.0040 	 Train images 400 	 Round  91
Device 10 	 Train loss 0.1449 	 LR 0.0040 	 Train images 400 	 Round  92
Device 10 	 Train loss 0.1495 	 LR 0.0039 	 Train images 400 	 Round  93
Device 10 	 Train loss 0.1543 	 LR 0.0039 	 Train images 400 	 Round  94
Device 10 	 Train loss 0.1494 	 LR 0.0038 	 Train images 400 	 Round  95
Device 10 	 Train loss 0.1470 	 LR 0.0038 	 Train images 400 	 Round  96
Device 10 	 Train loss 0.1479 	 LR 0.0038 	 Train images 400 	 Round  97
Device 10 	 Train loss 0.1433 	 LR 0.0037 	 Train images 400 	 Round  98
Device 10 	 Train loss 0.1434 	 LR 0.0037 	 Train images 400 	 Round  99
Device 10 	 Train loss 0.1433 	 LR 0.0037 	 Train images 400 	 Round 100
Device 10 	 Train loss 0.1490 	 LR 0.0036 	 Train images 400 	 Round 101
Device 10 	 Train loss 0.1354 	 LR 0.0036 	 Train images 400 	 Round 102
Device 10 	 Train loss 0.1411 	 LR 0.0036 	 Train images 400 	 Round 103
Device 10 	 Train loss 0.1455 	 LR 0.0035 	 Train images 400 	 Round 104
Device 10 	 Train loss 0.1458 	 LR 0.0035 	 Train images 400 	 Round 105
Device 10 	 Train loss 0.1470 	 LR 0.0034 	 Train images 400 	 Round 106
Device 10 	 Train loss 0.1436 	 LR 0.0034 	 Train images 400 	 Round 107
Device 10 	 Train loss 0.1540 	 LR 0.0034 	 Train images 400 	 Round 108
Device 10 	 Train loss 0.1506 	 LR 0.0033 	 Train images 400 	 Round 109
Device 10 	 Train loss 0.1421 	 LR 0.0033 	 Train images 400 	 Round 110
Device 10 	 Train loss 0.1478 	 LR 0.0033 	 Train images 400 	 Round 111
Device 10 	 Train loss 0.1461 	 LR 0.0032 	 Train images 400 	 Round 112
Device 10 	 Train loss 0.1503 	 LR 0.0032 	 Train images 400 	 Round 113
Device 10 	 Train loss 0.1475 	 LR 0.0032 	 Train images 400 	 Round 114
Device 10 	 Train loss 0.1461 	 LR 0.0031 	 Train images 400 	 Round 115
Device 10 	 Train loss 0.1492 	 LR 0.0031 	 Train images 400 	 Round 116
Device 10 	 Train loss 0.1485 	 LR 0.0031 	 Train images 400 	 Round 117
Device 10 	 Train loss 0.1487 	 LR 0.0031 	 Train images 400 	 Round 118
Device 10 	 Train loss 0.1437 	 LR 0.0030 	 Train images 400 	 Round 119
Device 10 	 Train loss 0.1474 	 LR 0.0030 	 Train images 400 	 Round 120
Device 10 	 Train loss 0.1439 	 LR 0.0030 	 Train images 400 	 Round 121
Device 10 	 Train loss 0.1413 	 LR 0.0029 	 Train images 400 	 Round 122
Device 10 	 Train loss 0.1421 	 LR 0.0029 	 Train images 400 	 Round 123
Device 10 	 Train loss 0.1457 	 LR 0.0029 	 Train images 400 	 Round 124
Device 10 	 Train loss 0.1436 	 LR 0.0028 	 Train images 400 	 Round 125
Device 10 	 Train loss 0.1335 	 LR 0.0028 	 Train images 400 	 Round 126
Device 10 	 Train loss 0.1417 	 LR 0.0028 	 Train images 400 	 Round 127
Device 10 	 Train loss 0.1381 	 LR 0.0028 	 Train images 400 	 Round 128
