Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=9, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  9 	 Train loss 0.1936 	 LR 0.0025 	 Train images 400 	 Round 136
Device  9 	 Train loss 0.2025 	 LR 0.0025 	 Train images 400 	 Round 137
Device  9 	 Train loss 0.1881 	 LR 0.0025 	 Train images 400 	 Round 138
Device  9 	 Train loss 0.2025 	 LR 0.0025 	 Train images 400 	 Round 139
Device  9 	 Train loss 0.1873 	 LR 0.0024 	 Train images 400 	 Round 140
Device  9 	 Train loss 0.1832 	 LR 0.0024 	 Train images 400 	 Round 141
Device  9 	 Train loss 0.1937 	 LR 0.0024 	 Train images 400 	 Round 142
Device  9 	 Train loss 0.1895 	 LR 0.0024 	 Train images 400 	 Round 143
Device  9 	 Train loss 0.2077 	 LR 0.0024 	 Train images 400 	 Round 144
Device  9 	 Train loss 0.2033 	 LR 0.0023 	 Train images 400 	 Round 145
Device  9 	 Train loss 0.2126 	 LR 0.0023 	 Train images 400 	 Round 146
Device  9 	 Train loss 0.1968 	 LR 0.0023 	 Train images 400 	 Round 147
Device  9 	 Train loss 0.1880 	 LR 0.0023 	 Train images 400 	 Round 148
Device  9 	 Train loss 0.2008 	 LR 0.0022 	 Train images 400 	 Round 149
Device  9 	 Train loss 0.2024 	 LR 0.0022 	 Train images 400 	 Round 150
Device  9 	 Train loss 0.2080 	 LR 0.0022 	 Train images 400 	 Round 151
Device  9 	 Train loss 0.2030 	 LR 0.0022 	 Train images 400 	 Round 152
Device  9 	 Train loss 0.2144 	 LR 0.0021 	 Train images 400 	 Round 153
Device  9 	 Train loss 0.2038 	 LR 0.0021 	 Train images 400 	 Round 154
Device  9 	 Train loss 0.2079 	 LR 0.0021 	 Train images 400 	 Round 155
Device  9 	 Train loss 0.1997 	 LR 0.0021 	 Train images 400 	 Round 156
Device  9 	 Train loss 0.2116 	 LR 0.0021 	 Train images 400 	 Round 157
Device  9 	 Train loss 0.1870 	 LR 0.0020 	 Train images 400 	 Round 158
Device  9 	 Train loss 0.1996 	 LR 0.0020 	 Train images 400 	 Round 159
Device  9 	 Train loss 0.2085 	 LR 0.0020 	 Train images 400 	 Round 160
Device  9 	 Train loss 0.1910 	 LR 0.0020 	 Train images 400 	 Round 161
Device  9 	 Train loss 0.2047 	 LR 0.0020 	 Train images 400 	 Round 162
Device  9 	 Train loss 0.2022 	 LR 0.0019 	 Train images 400 	 Round 163
Device  9 	 Train loss 0.2051 	 LR 0.0019 	 Train images 400 	 Round 164
Device  9 	 Train loss 0.1954 	 LR 0.0019 	 Train images 400 	 Round 165
Device  9 	 Train loss 0.2031 	 LR 0.0019 	 Train images 400 	 Round 166
Device  9 	 Train loss 0.2079 	 LR 0.0019 	 Train images 400 	 Round 167
Device  9 	 Train loss 0.2001 	 LR 0.0018 	 Train images 400 	 Round 168
Device  9 	 Train loss 0.2035 	 LR 0.0018 	 Train images 400 	 Round 169
Device  9 	 Train loss 0.2001 	 LR 0.0018 	 Train images 400 	 Round 170
Device  9 	 Train loss 0.2066 	 LR 0.0018 	 Train images 400 	 Round 171
Device  9 	 Train loss 0.2062 	 LR 0.0018 	 Train images 400 	 Round 172
Device  9 	 Train loss 0.2009 	 LR 0.0018 	 Train images 400 	 Round 173
Device  9 	 Train loss 0.2056 	 LR 0.0017 	 Train images 400 	 Round 174
Device  9 	 Train loss 0.2057 	 LR 0.0017 	 Train images 400 	 Round 175
Device  9 	 Train loss 0.2079 	 LR 0.0017 	 Train images 400 	 Round 176
Device  9 	 Train loss 0.2138 	 LR 0.0017 	 Train images 400 	 Round 177
Device  9 	 Train loss 0.2103 	 LR 0.0017 	 Train images 400 	 Round 178
Device  9 	 Train loss 0.2151 	 LR 0.0017 	 Train images 400 	 Round 179
Device  9 	 Train loss 0.2155 	 LR 0.0016 	 Train images 400 	 Round 180
