Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 0.5125 	 LR 0.0025 	 Train images 200 	 Round 138
Device 10 	 Train loss 0.5123 	 LR 0.0025 	 Train images 200 	 Round 139
Device 10 	 Train loss 0.5263 	 LR 0.0024 	 Train images 200 	 Round 140
Device 10 	 Train loss 0.5155 	 LR 0.0024 	 Train images 200 	 Round 141
Device 10 	 Train loss 0.5125 	 LR 0.0024 	 Train images 200 	 Round 142
Device 10 	 Train loss 0.5077 	 LR 0.0024 	 Train images 200 	 Round 143
Device 10 	 Train loss 0.4990 	 LR 0.0024 	 Train images 200 	 Round 144
Device 10 	 Train loss 0.5234 	 LR 0.0023 	 Train images 200 	 Round 145
Device 10 	 Train loss 0.5243 	 LR 0.0023 	 Train images 200 	 Round 146
Device 10 	 Train loss 0.5023 	 LR 0.0023 	 Train images 200 	 Round 147
Device 10 	 Train loss 0.5265 	 LR 0.0023 	 Train images 200 	 Round 148
Device 10 	 Train loss 0.5217 	 LR 0.0022 	 Train images 200 	 Round 149
Device 10 	 Train loss 0.5048 	 LR 0.0022 	 Train images 200 	 Round 150
Device 10 	 Train loss 0.5124 	 LR 0.0022 	 Train images 200 	 Round 151
Device 10 	 Train loss 0.5007 	 LR 0.0022 	 Train images 200 	 Round 152
Device 10 	 Train loss 0.5167 	 LR 0.0021 	 Train images 200 	 Round 153
Device 10 	 Train loss 0.5195 	 LR 0.0021 	 Train images 200 	 Round 154
Device 10 	 Train loss 0.4991 	 LR 0.0021 	 Train images 200 	 Round 155
Device 10 	 Train loss 0.4889 	 LR 0.0021 	 Train images 200 	 Round 156
Device 10 	 Train loss 0.5002 	 LR 0.0021 	 Train images 200 	 Round 157
Device 10 	 Train loss 0.5009 	 LR 0.0020 	 Train images 200 	 Round 158
Device 10 	 Train loss 0.5098 	 LR 0.0020 	 Train images 200 	 Round 159
Device 10 	 Train loss 0.5018 	 LR 0.0020 	 Train images 200 	 Round 160
Device 10 	 Train loss 0.5044 	 LR 0.0020 	 Train images 200 	 Round 161
Device 10 	 Train loss 0.5071 	 LR 0.0020 	 Train images 200 	 Round 162
Device 10 	 Train loss 0.4949 	 LR 0.0019 	 Train images 200 	 Round 163
Device 10 	 Train loss 0.4947 	 LR 0.0019 	 Train images 200 	 Round 164
Device 10 	 Train loss 0.4809 	 LR 0.0019 	 Train images 200 	 Round 165
Device 10 	 Train loss 0.4753 	 LR 0.0019 	 Train images 200 	 Round 166
Device 10 	 Train loss 0.4868 	 LR 0.0019 	 Train images 200 	 Round 167
Device 10 	 Train loss 0.4979 	 LR 0.0018 	 Train images 200 	 Round 168
Device 10 	 Train loss 0.4917 	 LR 0.0018 	 Train images 200 	 Round 169
Device 10 	 Train loss 0.4844 	 LR 0.0018 	 Train images 200 	 Round 170
Device 10 	 Train loss 0.4953 	 LR 0.0018 	 Train images 200 	 Round 171
Device 10 	 Train loss 0.5026 	 LR 0.0018 	 Train images 200 	 Round 172
Device 10 	 Train loss 0.4885 	 LR 0.0018 	 Train images 200 	 Round 173
Device 10 	 Train loss 0.4989 	 LR 0.0017 	 Train images 200 	 Round 174
Device 10 	 Train loss 0.4876 	 LR 0.0017 	 Train images 200 	 Round 175
Device 10 	 Train loss 0.4813 	 LR 0.0017 	 Train images 200 	 Round 176
Device 10 	 Train loss 0.4971 	 LR 0.0017 	 Train images 200 	 Round 177
Device 10 	 Train loss 0.4848 	 LR 0.0017 	 Train images 200 	 Round 178
Device 10 	 Train loss 0.4648 	 LR 0.0017 	 Train images 200 	 Round 179
Device 10 	 Train loss 0.4883 	 LR 0.0016 	 Train images 200 	 Round 180
Device 10 	 Train loss 0.4789 	 LR 0.0016 	 Train images 200 	 Round 181
Device 10 	 Train loss 0.4734 	 LR 0.0016 	 Train images 200 	 Round 182
Device 10 	 Train loss 0.4965 	 LR 0.0016 	 Train images 200 	 Round 183
Device 10 	 Train loss 0.5005 	 LR 0.0016 	 Train images 200 	 Round 184
Device 10 	 Train loss 0.4959 	 LR 0.0016 	 Train images 200 	 Round 185
Device 10 	 Train loss 0.4918 	 LR 0.0015 	 Train images 200 	 Round 186
Device 10 	 Train loss 0.4989 	 LR 0.0015 	 Train images 200 	 Round 187
Device 10 	 Train loss 0.4760 	 LR 0.0015 	 Train images 200 	 Round 188
Device 10 	 Train loss 0.4930 	 LR 0.0015 	 Train images 200 	 Round 189
Device 10 	 Train loss 0.4667 	 LR 0.0015 	 Train images 200 	 Round 190
Device 10 	 Train loss 0.4867 	 LR 0.0015 	 Train images 200 	 Round 191
Device 10 	 Train loss 0.4926 	 LR 0.0015 	 Train images 200 	 Round 192
Device 10 	 Train loss 0.4858 	 LR 0.0014 	 Train images 200 	 Round 193
Device 10 	 Train loss 0.4772 	 LR 0.0014 	 Train images 200 	 Round 194
Device 10 	 Train loss 0.4843 	 LR 0.0014 	 Train images 200 	 Round 195
Device 10 	 Train loss 0.4422 	 LR 0.0014 	 Train images 200 	 Round 196
Device 10 	 Train loss 0.4894 	 LR 0.0014 	 Train images 200 	 Round 197
Device 10 	 Train loss 0.4868 	 LR 0.0014 	 Train images 200 	 Round 198
Device 10 	 Train loss 0.4869 	 LR 0.0014 	 Train images 200 	 Round 199
Device 10 	 Train loss 0.4737 	 LR 0.0013 	 Train images 200 	 Round 200
Defense cp on Dataset MNIST.
Finished computations with time: 0:05:26.761854

