Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device 10 	 Train loss 0.0924 	 LR 0.0044 	 Train images 400 	 Round  81
Device 10 	 Train loss 0.0918 	 LR 0.0044 	 Train images 400 	 Round  82
Device 10 	 Train loss 0.0928 	 LR 0.0043 	 Train images 400 	 Round  83
Device 10 	 Train loss 0.0904 	 LR 0.0043 	 Train images 400 	 Round  84
Device 10 	 Train loss 0.0919 	 LR 0.0043 	 Train images 400 	 Round  85
Device 10 	 Train loss 0.0918 	 LR 0.0042 	 Train images 400 	 Round  86
Device 10 	 Train loss 0.0910 	 LR 0.0042 	 Train images 400 	 Round  87
Device 10 	 Train loss 0.0870 	 LR 0.0041 	 Train images 400 	 Round  88
Device 10 	 Train loss 0.0936 	 LR 0.0041 	 Train images 400 	 Round  89
Device 10 	 Train loss 0.0887 	 LR 0.0040 	 Train images 400 	 Round  90
Device 10 	 Train loss 0.0897 	 LR 0.0040 	 Train images 400 	 Round  91
Device 10 	 Train loss 0.0893 	 LR 0.0040 	 Train images 400 	 Round  92
Device 10 	 Train loss 0.0858 	 LR 0.0039 	 Train images 400 	 Round  93
Device 10 	 Train loss 0.0889 	 LR 0.0039 	 Train images 400 	 Round  94
Device 10 	 Train loss 0.0905 	 LR 0.0038 	 Train images 400 	 Round  95
Device 10 	 Train loss 0.0899 	 LR 0.0038 	 Train images 400 	 Round  96
Device 10 	 Train loss 0.0894 	 LR 0.0038 	 Train images 400 	 Round  97
Device 10 	 Train loss 0.0889 	 LR 0.0037 	 Train images 400 	 Round  98
Device 10 	 Train loss 0.0877 	 LR 0.0037 	 Train images 400 	 Round  99
Device 10 	 Train loss 0.0863 	 LR 0.0037 	 Train images 400 	 Round 100
Device 10 	 Train loss 0.0887 	 LR 0.0036 	 Train images 400 	 Round 101
Device 10 	 Train loss 0.0890 	 LR 0.0036 	 Train images 400 	 Round 102
Device 10 	 Train loss 0.0816 	 LR 0.0036 	 Train images 400 	 Round 103
Device 10 	 Train loss 0.0879 	 LR 0.0035 	 Train images 400 	 Round 104
Device 10 	 Train loss 0.0887 	 LR 0.0035 	 Train images 400 	 Round 105
Device 10 	 Train loss 0.0876 	 LR 0.0034 	 Train images 400 	 Round 106
Device 10 	 Train loss 0.0885 	 LR 0.0034 	 Train images 400 	 Round 107
Device 10 	 Train loss 0.0891 	 LR 0.0034 	 Train images 400 	 Round 108
Device 10 	 Train loss 0.0883 	 LR 0.0033 	 Train images 400 	 Round 109
Device 10 	 Train loss 0.0880 	 LR 0.0033 	 Train images 400 	 Round 110
Device 10 	 Train loss 0.0884 	 LR 0.0033 	 Train images 400 	 Round 111
Device 10 	 Train loss 0.0892 	 LR 0.0032 	 Train images 400 	 Round 112
Device 10 	 Train loss 0.0884 	 LR 0.0032 	 Train images 400 	 Round 113
Device 10 	 Train loss 0.0860 	 LR 0.0032 	 Train images 400 	 Round 114
Device 10 	 Train loss 0.0842 	 LR 0.0031 	 Train images 400 	 Round 115
Device 10 	 Train loss 0.0849 	 LR 0.0031 	 Train images 400 	 Round 116
Device 10 	 Train loss 0.0891 	 LR 0.0031 	 Train images 400 	 Round 117
Device 10 	 Train loss 0.0875 	 LR 0.0031 	 Train images 400 	 Round 118
Device 10 	 Train loss 0.0875 	 LR 0.0030 	 Train images 400 	 Round 119
Device 10 	 Train loss 0.0862 	 LR 0.0030 	 Train images 400 	 Round 120
Device 10 	 Train loss 0.0888 	 LR 0.0030 	 Train images 400 	 Round 121
Device 10 	 Train loss 0.0872 	 LR 0.0029 	 Train images 400 	 Round 122
Device 10 	 Train loss 0.0868 	 LR 0.0029 	 Train images 400 	 Round 123
